Distrito origen;Llegada_DT1;Llegada_DT2;Llegada_DT3;Llegada_DT4;Llegada_DT5;Llegada_DT6;Llegada_DT7;Llegada_DT8;Llegada_DT9;Llegada_DT10;Llegada_DT11;Llegada_DT12;Llegada_DT13;Llegada_DT14;Llegada_DT15;Llegada_DT16;Llegada_DT17;Llegada_DT18;Llegada_DT19
1. Ciutat Vella;386;104;220;60;83;68;72;44;42;76;44;44;27;23;50;48;4;9;24
2. l'Eixample;108;675;119;39;43;86;59;56;70;385;57;104;25;11;27;21;10;8;27
3. Extramurs;150;129;846;92;80;35;274;181;190;120;49;41;20;27;47;68;5;13;31
4. Campanar;54;34;61;624;109;49;86;42;55;58;13;28;13;17;61;221;6;35;3
5. la Saïdia;52;43;53;119;814;43;80;46;47;68;59;54;30;81;338;297;13;25;16
6. el Pla del Real;75;98;45;32;31;468;18;22;26;51;40;184;144;72;55;16;6;9;10
7. l'Olivereta;53;34;207;75;68;10;1188;221;113;79;46;61;23;45;54;88;2;28;37
8. Patraix;44;32;131;45;49;16;237;924;276;88;35;49;24;13;68;46;8;16;49
9. Jesús;28;41;144;38;36;20;120;299;1021;120;55;57;40;20;50;50;2;25;95
10. Quatre Carreres;69;267;81;55;81;54;104;104;203;1859;113;157;56;29;89;50;3;18;106
11. Poblats Marítims;39;35;30;41;53;39;56;34;47;105;1328;314;129;34;78;44;9;12;35
12. Camins al Grau;47;105;59;42;66;121;67;48;97;205;317;1458;216;30;96;70;4;11;44
13. Algirós;33;52;36;30;42;152;41;20;35;57;163;296;461;46;63;34;2;7;30
14. Benimaclet;26;25;29;14;102;92;35;10;32;21;23;45;46;465;199;27;0;6;14
15. Rascanya;29;24;45;80;293;55;56;45;50;71;49;66;36;96;1144;251;34;12;23
16. Benicalap;27;37;53;166;193;22;76;48;38;36;46;45;20;26;247;848;10;40;32
17. Pobles del Nord;5;8;12;9;12;11;1;6;2;3;3;3;1;0;20;13;65;0;0
18. Pobles de l'Oest;6;7;7;42;4;5;17;2;9;8;4;14;2;7;22;37;0;281;8
19. Pobles del Sud;7;27;19;18;9;8;16;22;35;63;25;18;8;12;13;16;2;2;389
