Unidades territoriales	Indicadores de renta media	Periodo	Total
4625001 València distrito 01	Renta media por persona 	2017	17076
4625002 València distrito 02	Renta media por persona 	2017	18068
4625003 València distrito 03	Renta media por persona 	2017	15193
4625004 València distrito 04	Renta media por persona 	2017	13962
4625005 València distrito 05	Renta media por persona 	2017	11367
4625006 València distrito 06	Renta media por persona 	2017	18844
4625007 València distrito 07	Renta media por persona 	2017	10250
4625008 València distrito 08	Renta media por persona 	2017	11944
4625009 València distrito 09	Renta media por persona 	2017	10627
4625010 València distrito 10	Renta media por persona 	2017	10877
4625011 València distrito 11	Renta media por persona 	2017	10450
4625012 València distrito 12	Renta media por persona 	2017	12376
4625013 València distrito 13	Renta media por persona 	2017	13655
4625014 València distrito 14	Renta media por persona 	2017	13208
4625015 València distrito 15	Renta media por persona 	2017	10143
4625016 València distrito 16	Renta media por persona 	2017	10302
4625017 València distrito 17	Renta media por persona 	2017	12727
4625018 València distrito 18	Renta media por persona 	2017	9673
4625019 València distrito 19	Renta media por persona 	2017	10933
